=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
400   2.000E-04   1.4098E-02   1.4098E-02   1.4098E-02 / 1.4098E-02   2.4049E-01 / 2.4049E-01   56.74% / 56.74%
410   2.000E-04   1.3959E-02   1.3959E-02   1.3959E-02 / 1.3959E-02   2.4576E-01 / 2.4576E-01   56.97% / 56.97%
420   2.000E-04   1.3505E-02   1.3505E-02   1.3505E-02 / 1.3505E-02   2.3603E-01 / 2.3603E-01   56.69% / 56.69%
430   2.000E-04   1.3609E-02   1.3609E-02   1.3609E-02 / 1.3609E-02   2.4095E-01 / 2.4095E-01   57.09% / 57.09%
440   2.000E-04   1.6111E-02   1.6111E-02   1.6111E-02 / 1.6111E-02   2.3887E-01 / 2.3887E-01   57.61% / 57.61%
450   2.000E-04   1.3457E-02   1.3457E-02   1.3457E-02 / 1.3457E-02   2.5264E-01 / 2.5264E-01   57.49% / 57.49%
460   2.000E-04   1.3157E-02   1.3157E-02   1.3157E-02 / 1.3157E-02   2.5285E-01 / 2.5285E-01   57.73% / 57.73%
470   2.000E-04   1.3808E-02   1.3808E-02   1.3808E-02 / 1.3808E-02   2.5635E-01 / 2.5635E-01   58.15% / 58.15%
480   2.000E-04   1.3876E-02   1.3876E-02   1.3876E-02 / 1.3876E-02   2.6507E-01 / 2.6507E-01   58.22% / 58.22%
490   2.000E-04   1.2587E-02   1.2587E-02   1.2587E-02 / 1.2587E-02   2.6816E-01 / 2.6816E-01   58.50% / 58.50%
500   2.000E-04   1.2950E-02   1.2950E-02   1.2950E-02 / 1.2950E-02   2.7192E-01 / 2.7192E-01   58.99% / 58.99%
510   2.000E-04   1.4184E-02   1.4184E-02   1.4184E-02 / 1.4184E-02   2.7176E-01 / 2.7176E-01   58.45% / 58.45%
520   2.000E-04   1.2447E-02   1.2447E-02   1.2447E-02 / 1.2447E-02   2.7927E-01 / 2.7927E-01   59.45% / 59.45%
530   2.000E-04   1.2025E-02   1.2025E-02   1.2025E-02 / 1.2025E-02   2.8109E-01 / 2.8109E-01   59.80% / 59.80%
540   2.000E-04   1.2010E-02   1.2010E-02   1.2010E-02 / 1.2010E-02   3.0104E-01 / 3.0104E-01   60.22% / 60.22%
550   2.000E-04   1.2175E-02   1.2175E-02   1.2175E-02 / 1.2175E-02   2.9085E-01 / 2.9085E-01   60.58% / 60.58%
560   2.000E-04   1.1910E-02   1.1910E-02   1.1910E-02 / 1.1910E-02   2.9388E-01 / 2.9388E-01   60.21% / 60.21%
570   2.000E-04   1.1644E-02   1.1644E-02   1.1644E-02 / 1.1644E-02   3.0124E-01 / 3.0124E-01   60.42% / 60.42%
580   2.000E-04   1.1547E-02   1.1547E-02   1.1547E-02 / 1.1547E-02   3.1067E-01 / 3.1067E-01   60.75% / 60.75%
590   2.000E-04   1.1534E-02   1.1534E-02   1.1534E-02 / 1.1534E-02   3.2148E-01 / 3.2148E-01   61.00% / 61.00%
600   2.000E-04   1.1347E-02   1.1347E-02   1.1347E-02 / 1.1347E-02   3.1371E-01 / 3.1371E-01   61.57% / 61.57%
610   2.000E-04   1.1092E-02   1.1092E-02   1.1092E-02 / 1.1092E-02   3.2336E-01 / 3.2336E-01   61.96% / 61.96%
620   2.000E-04   1.2223E-02   1.2223E-02   1.2223E-02 / 1.2223E-02   3.2965E-01 / 3.2965E-01   62.59% / 62.59%
630   2.000E-04   1.0888E-02   1.0888E-02   1.0888E-02 / 1.0888E-02   3.3411E-01 / 3.3411E-01   64.39% / 64.39%
640   2.000E-04   1.0839E-02   1.0839E-02   1.0839E-02 / 1.0839E-02   3.5718E-01 / 3.5718E-01   65.07% / 65.07%
650   2.000E-04   1.1564E-02   1.1564E-02   1.1564E-02 / 1.1564E-02   3.5737E-01 / 3.5737E-01   65.93% / 65.93%
660   2.000E-04   1.1070E-02   1.1070E-02   1.1070E-02 / 1.1070E-02   3.7920E-01 / 3.7920E-01   66.56% / 66.56%
670   2.000E-04   1.0509E-02   1.0509E-02   1.0509E-02 / 1.0509E-02   3.7746E-01 / 3.7746E-01   67.71% / 67.71%
680   2.000E-04   1.0493E-02   1.0493E-02   1.0493E-02 / 1.0493E-02   3.6995E-01 / 3.6995E-01   67.27% / 67.27%
690   2.000E-04   1.0291E-02   1.0291E-02   1.0291E-02 / 1.0291E-02   3.8298E-01 / 3.8298E-01   68.40% / 68.40%
700   2.000E-04   1.0305E-02   1.0305E-02   1.0305E-02 / 1.0305E-02   3.8966E-01 / 3.8966E-01   68.86% / 68.86%
710   2.000E-04   1.0818E-02   1.0818E-02   1.0818E-02 / 1.0818E-02   3.8786E-01 / 3.8786E-01   68.98% / 68.98%
720   2.000E-04   9.9520E-03   9.9520E-03   9.9520E-03 / 9.9520E-03   4.0981E-01 / 4.0981E-01   69.35% / 69.35%
730   2.000E-04   1.0698E-02   1.0698E-02   1.0698E-02 / 1.0698E-02   4.0804E-01 / 4.0804E-01   70.08% / 70.08%
740   2.000E-04   1.0032E-02   1.0032E-02   1.0032E-02 / 1.0032E-02   4.1567E-01 / 4.1567E-01   70.17% / 70.17%
750   2.000E-04   1.0218E-02   1.0218E-02   1.0218E-02 / 1.0218E-02   4.1693E-01 / 4.1693E-01   70.52% / 70.52%
760   2.000E-04   1.0329E-02   1.0329E-02   1.0329E-02 / 1.0329E-02   3.9432E-01 / 3.9432E-01   70.38% / 70.38%
770   2.000E-04   9.7455E-03   9.7455E-03   9.7455E-03 / 9.7455E-03   4.2294E-01 / 4.2294E-01   70.98% / 70.98%
780   2.000E-04   9.5384E-03   9.5384E-03   9.5384E-03 / 9.5384E-03   4.2172E-01 / 4.2172E-01   71.17% / 71.17%
790   2.000E-04   1.0048E-02   1.0048E-02   1.0048E-02 / 1.0048E-02   4.3345E-01 / 4.3345E-01   71.43% / 71.43%
800   2.000E-04   9.4419E-03   9.4419E-03   9.4419E-03 / 9.4419E-03   4.0479E-01 / 4.0479E-01   71.44% / 71.44%
810   2.000E-04   9.2105E-03   9.2105E-03   9.2105E-03 / 9.2105E-03   4.2782E-01 / 4.2782E-01   71.61% / 71.61%
820   2.000E-04   9.2108E-03   9.2108E-03   9.2108E-03 / 9.2108E-03   4.1400E-01 / 4.1400E-01   71.99% / 71.99%
830   2.000E-04   1.0454E-02   1.0454E-02   1.0454E-02 / 1.0454E-02   4.1187E-01 / 4.1187E-01   71.89% / 71.89%
840   2.000E-04   9.2025E-03   9.2025E-03   9.2025E-03 / 9.2025E-03   4.1108E-01 / 4.1108E-01   71.90% / 71.90%
850   2.000E-04   9.1873E-03   9.1873E-03   9.1873E-03 / 9.1873E-03   4.2117E-01 / 4.2117E-01   72.13% / 72.13%
860   2.000E-04   9.0200E-03   9.0200E-03   9.0200E-03 / 9.0200E-03   4.4864E-01 / 4.4864E-01   72.37% / 72.37%
870   2.000E-04   9.0804E-03   9.0804E-03   9.0804E-03 / 9.0804E-03   4.3177E-01 / 4.3177E-01   72.33% / 72.33%
880   2.000E-04   9.1562E-03   9.1562E-03   9.1562E-03 / 9.1562E-03   4.2622E-01 / 4.2622E-01   72.52% / 72.52%
890   2.000E-04   8.8176E-03   8.8176E-03   8.8176E-03 / 8.8176E-03   4.4545E-01 / 4.4545E-01   73.03% / 73.03%
900   2.000E-04   8.7993E-03   8.7993E-03   8.7993E-03 / 8.7993E-03   4.3948E-01 / 4.3948E-01   73.00% / 73.00%
910   2.000E-04   8.6076E-03   8.6076E-03   8.6076E-03 / 8.6076E-03   4.2615E-01 / 4.2615E-01   73.05% / 73.05%
920   2.000E-04   8.4734E-03   8.4734E-03   8.4734E-03 / 8.4734E-03   4.3653E-01 / 4.3653E-01   73.19% / 73.19%
