=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
400   2.000E-04   2.7318E-01   2.7318E-01   2.7318E-01 / 2.7318E-01   3.1190E-01 / 3.1190E-01   51.78% / 51.78%
410   2.000E-04   2.6395E-01   2.6395E-01   2.6395E-01 / 2.6395E-01   2.9789E-01 / 2.9789E-01   51.92% / 51.92%
420   2.000E-04   2.6086E-01   2.6086E-01   2.6086E-01 / 2.6086E-01   2.6367E-01 / 2.6367E-01   51.40% / 51.40%
430   2.000E-04   2.5970E-01   2.5970E-01   2.5970E-01 / 2.5970E-01   2.4758E-01 / 2.4758E-01   51.76% / 51.76%
440   2.000E-04   2.5556E-01   2.5556E-01   2.5556E-01 / 2.5556E-01   2.3184E-01 / 2.3184E-01   51.66% / 51.66%
450   2.000E-04   2.5700E-01   2.5700E-01   2.5700E-01 / 2.5700E-01   2.3677E-01 / 2.3677E-01   52.31% / 52.31%
460   2.000E-04   2.5091E-01   2.5091E-01   2.5091E-01 / 2.5091E-01   2.1352E-01 / 2.1352E-01   52.02% / 52.02%
470   2.000E-04   2.4625E-01   2.4625E-01   2.4625E-01 / 2.4625E-01   2.2093E-01 / 2.2093E-01   52.10% / 52.10%
480   2.000E-04   2.5962E-01   2.5962E-01   2.5962E-01 / 2.5962E-01   2.2207E-01 / 2.2207E-01   52.95% / 52.95%
490   2.000E-04   2.3793E-01   2.3793E-01   2.3793E-01 / 2.3793E-01   2.6162E-01 / 2.6162E-01   53.44% / 53.44%
500   2.000E-04   2.3001E-01   2.3001E-01   2.3001E-01 / 2.3001E-01   2.6202E-01 / 2.6202E-01   53.34% / 53.34%
510   2.000E-04   2.4205E-01   2.4205E-01   2.4205E-01 / 2.4205E-01   2.8168E-01 / 2.8168E-01   54.31% / 54.31%
520   2.000E-04   2.3319E-01   2.3319E-01   2.3319E-01 / 2.3319E-01   2.8027E-01 / 2.8027E-01   54.78% / 54.78%
530   2.000E-04   2.2450E-01   2.2450E-01   2.2450E-01 / 2.2450E-01   2.8990E-01 / 2.8990E-01   54.93% / 54.93%
540   2.000E-04   2.2055E-01   2.2055E-01   2.2055E-01 / 2.2055E-01   3.1143E-01 / 3.1143E-01   55.00% / 55.00%
550   2.000E-04   2.1802E-01   2.1802E-01   2.1802E-01 / 2.1802E-01   3.2655E-01 / 3.2655E-01   55.60% / 55.60%
560   2.000E-04   2.1590E-01   2.1590E-01   2.1590E-01 / 2.1590E-01   3.1838E-01 / 3.1838E-01   55.56% / 55.56%
570   2.000E-04   2.1143E-01   2.1143E-01   2.1143E-01 / 2.1143E-01   3.5480E-01 / 3.5480E-01   56.38% / 56.38%
580   2.000E-04   2.1308E-01   2.1308E-01   2.1308E-01 / 2.1308E-01   3.6590E-01 / 3.6590E-01   56.38% / 56.38%
590   2.000E-04   2.1247E-01   2.1247E-01   2.1247E-01 / 2.1247E-01   3.9319E-01 / 3.9319E-01   57.62% / 57.62%
600   2.000E-04   2.1193E-01   2.1193E-01   2.1193E-01 / 2.1193E-01   3.7639E-01 / 3.7639E-01   56.75% / 56.75%
610   2.000E-04   2.0565E-01   2.0565E-01   2.0565E-01 / 2.0565E-01   4.1611E-01 / 4.1611E-01   57.67% / 57.67%
620   2.000E-04   2.0292E-01   2.0292E-01   2.0292E-01 / 2.0292E-01   4.2536E-01 / 4.2536E-01   57.90% / 57.90%
630   2.000E-04   2.0198E-01   2.0198E-01   2.0198E-01 / 2.0198E-01   4.2573E-01 / 4.2573E-01   58.41% / 58.41%
640   2.000E-04   2.4662E-01   2.4662E-01   2.4662E-01 / 2.4662E-01   4.2778E-01 / 4.2778E-01   58.61% / 58.61%
650   2.000E-04   1.9718E-01   1.9718E-01   1.9718E-01 / 1.9718E-01   4.2042E-01 / 4.2042E-01   59.09% / 59.09%
660   2.000E-04   1.9674E-01   1.9674E-01   1.9674E-01 / 1.9674E-01   4.3901E-01 / 4.3901E-01   59.41% / 59.41%
670   2.000E-04   1.9196E-01   1.9196E-01   1.9196E-01 / 1.9196E-01   4.5764E-01 / 4.5764E-01   59.95% / 59.95%
680   2.000E-04   1.9459E-01   1.9459E-01   1.9459E-01 / 1.9459E-01   4.2091E-01 / 4.2091E-01   59.03% / 59.03%
690   2.000E-04   2.1329E-01   2.1329E-01   2.1329E-01 / 2.1329E-01   4.8919E-01 / 4.8919E-01   60.97% / 60.97%
700   2.000E-04   1.8864E-01   1.8864E-01   1.8864E-01 / 1.8864E-01   4.4585E-01 / 4.4585E-01   60.13% / 60.13%
710   2.000E-04   1.9067E-01   1.9067E-01   1.9067E-01 / 1.9067E-01   4.3399E-01 / 4.3399E-01   60.12% / 60.12%
720   2.000E-04   1.9154E-01   1.9154E-01   1.9154E-01 / 1.9154E-01   4.7809E-01 / 4.7809E-01   61.05% / 61.05%
730   2.000E-04   1.8592E-01   1.8592E-01   1.8592E-01 / 1.8592E-01   4.5590E-01 / 4.5590E-01   60.51% / 60.51%
740   2.000E-04   1.9471E-01   1.9471E-01   1.9471E-01 / 1.9471E-01   4.6668E-01 / 4.6668E-01   60.72% / 60.72%
750   2.000E-04   2.2480E-01   2.2480E-01   2.2480E-01 / 2.2480E-01   4.5586E-01 / 4.5586E-01   60.10% / 60.10%
760   2.000E-04   1.8648E-01   1.8648E-01   1.8648E-01 / 1.8648E-01   4.5587E-01 / 4.5587E-01   61.26% / 61.26%
770   2.000E-04   1.8367E-01   1.8367E-01   1.8367E-01 / 1.8367E-01   4.9249E-01 / 4.9249E-01   61.60% / 61.60%
780   2.000E-04   1.8407E-01   1.8407E-01   1.8407E-01 / 1.8407E-01   4.7887E-01 / 4.7887E-01   61.93% / 61.93%
790   2.000E-04   3.1438E-01   3.1438E-01   3.1438E-01 / 3.1438E-01   4.6568E-01 / 4.6568E-01   60.52% / 60.52%
800   2.000E-04   3.4062E-01   3.4062E-01   3.4062E-01 / 3.4062E-01   5.2085E-01 / 5.2085E-01   61.39% / 61.39%
810   2.000E-04   1.9081E-01   1.9081E-01   1.9081E-01 / 1.9081E-01   4.8634E-01 / 4.8634E-01   62.04% / 62.04%
820   2.000E-04   1.7895E-01   1.7895E-01   1.7895E-01 / 1.7895E-01   5.1748E-01 / 5.1748E-01   62.84% / 62.84%
