y,z,TBKAN_Ux,TBKAN_Uy,TBKAN_Uz,DNS_Ux,DNS_Uy,DNS_Uz,Error_Ux,Error_Uy,Error_Uz,Mag_Error_TBKAN_vs_DNS,Mag_Error_RANS_vs_DNS
0.205065,-0.49701,0.0296152,-0.00077086,-0.000137139,0.029455426494916625,-0.0011907217751490015,1.3759159792140703e-05,0.00015977350508337637,0.0004198617751490015,-0.00015089815979214068,0.0004739005568540227,0.0040059015876299205
0.220932,-0.49701,0.0296254,-0.000821176,-0.000134376,0.029541132293667845,-0.0012437747008970236,1.3598305065357291e-05,8.426770633215494e-05,0.00042259870089702363,-0.00014797430506535727,0.00045561727720742743,0.003769490487124181
0.236099,-0.49701,0.0296363,-0.000856626,-0.000131395,0.029740965637939844,-0.0013380092851080095,1.263178779835792e-05,-0.00010466563793984363,0.0004813832851080095,-0.0001440267877983579,0.0005132528407619843,0.0032631432335600953
0.250598,-0.49701,0.0296271,-0.000878064,-0.000128021,0.02998609934459557,-0.0014255384772680305,1.0539269999051163e-05,-0.00035899934459556956,0.0005474744772680305,-0.00013856026999905117,0.0006691844148679508,0.0027236269714583437
0.264456,-0.49701,0.0295762,-0.000886482,-0.000124247,0.030310228977317426,-0.001511048971858317,6.426778058835149e-06,-0.0007340289773174261,0.000624566971858317,-0.00013067377805883515,0.0009726037621509099,0.0020131823765313552
0.277704,-0.49701,0.0294663,-0.00088325,-0.000120259,0.030393728962642363,-0.0015313480719971423,5.946931164601299e-06,-0.0009274289626423626,0.0006480980719971422,-0.0001262059311646013,0.0011384566433270203,0.0018349051593554303
0.290367,-0.49701,0.0292848,-0.000871033,-0.000116014,0.03058342967641038,-0.001561204024450626,1.015732764148087e-06,-0.0012986296764103816,0.000690171024450626,-0.00011702973276414809,0.0014752867645972448,0.0015629137050663538
0.302471,-0.49701,0.0290237,-0.000852973,-0.000111481,0.03061474897405541,-0.0015629755209483778,9.855057608049504e-08,-0.0015910489740554104,0.0007100025209483778,-0.00011157955057608049,0.0017458494819721961,0.0015786181830777465
0.314042,-0.49701,0.0286814,-0.000831335,-0.000106973,0.030612761898484882,-0.0015495066907461946,-3.537330220659072e-06,-0.0019313618984848832,0.0007181716907461946,-0.00010343566977934092,0.0020631597849151387,0.001729178792190959
0.325102,-0.49701,0.0282594,-0.000807274,-0.000102776,0.030421815475759874,-0.0014897699363729936,-1.0956677248975386e-05,-0.0021624154757598733,0.0006824959363729937,-9.181932275102462e-05,0.0022694211114295,0.0020807893563906483
0.335674,-0.49701,0.0277599,-0.000782321,-9.89609e-05,0.03031480839228065,-0.0014616280105750224,-1.1797290490691191e-05,-0.0025549083922806505,0.0006793070105750224,-8.716360950930881e-05,0.002645111037817725,0.002206593283333854
0.34578,-0.49701,0.0271849,-0.000758605,-9.56141e-05,0.029817843845204122,-0.0013513992253718049,-1.8175299336772547e-05,-0.0026329438452041207,0.0005927942253718049,-7.743880066322746e-05,0.0026999620466740966,0.0025180177231257568
0.35544,-0.49701,0.0265344,-0.000738237,-9.20169e-05,0.0295724204649788,-0.0013005143698590225,-1.9093136000279047e-05,-0.003038020464978801,0.0005622773698590226,-7.292376399972096e-05,0.0030904760250876364,0.0025714951187314965
0.364674,-0.49701,0.0258111,-0.000725075,-8.57585e-05,0.028782543313237555,-0.001158601427674379,-2.3987760208840925e-05,-0.0029714433132375546,0.0004335264276743789,-6.177073979115908e-05,0.0030035372732114766,0.0027500364565155337
0.373501,-0.49701,0.025027,-0.000722595,-7.60453e-05,0.02848000759829087,-0.0011068882390293656,-2.447226157282944e-05,-0.0034530075982908692,0.0003842932390293656,-5.157303842717056e-05,0.0034747089871974557,0.002792347089273982
0.381939,-0.49701,0.0242003,-0.000729727,-6.55331e-05,0.02774937524325797,-0.0009955160622356323,-2.6881893197796076e-05,-0.003549075243257968,0.00026578906223563234,-3.865120680220393e-05,0.0035592236265368274,0.002785952754839508
0.390004,-0.49701,0.0233475,-0.000741796,-5.68453e-05,0.02645849633762002,-0.0008280255561489017,-2.92321404925662e-05,-0.00311099633762002,8.622955614890173e-05,-2.7613159507433803e-05,0.0031123136467291978,0.0026601235603085577
0.397713,-0.49701,0.0224788,-0.000752672,-5.07119e-05,0.026025105050295722,-0.0007740347462382864,-2.9371024385425896e-05,-0.003546305050295722,2.1362746238286364e-05,-2.1340875614574102e-05,0.0035464336042920334,0.0026339598076869654
0.405083,-0.49701,0.0215969,-0.000755364,-4.68215e-05,0.025028736165491523,-0.0006664355421498571,-2.945613759304742e-05,-0.003431836165491524,-8.892845785014294e-05,-1.736536240695258e-05,0.003433032084499458,0.0024841143317809486
