=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
400   5.000E-03   1.3809E-01   1.3809E-01   1.3809E-01 / 1.3809E-01   3.0418E-01 / 3.0418E-01   47.74% / 47.74%
410   5.000E-03   1.2079E-01   1.2079E-01   1.2079E-01 / 1.2079E-01   3.0246E-01 / 3.0246E-01   47.10% / 47.10%
420   5.000E-03   1.1701E-01   1.1701E-01   1.1701E-01 / 1.1701E-01   3.0753E-01 / 3.0753E-01   47.10% / 47.10%
430   5.000E-03   1.1394E-01   1.1394E-01   1.1394E-01 / 1.1394E-01   3.1018E-01 / 3.1018E-01   47.10% / 47.10%
440   5.000E-03   1.1009E-01   1.1009E-01   1.1009E-01 / 1.1009E-01   3.1335E-01 / 3.1335E-01   47.74% / 47.74%
450   5.000E-03   1.0762E-01   1.0762E-01   1.0762E-01 / 1.0762E-01   3.3006E-01 / 3.3006E-01   47.74% / 47.74%
460   5.000E-03   1.0526E-01   1.0526E-01   1.0526E-01 / 1.0526E-01   3.2531E-01 / 3.2531E-01   47.74% / 47.74%
470   5.000E-03   1.0289E-01   1.0289E-01   1.0289E-01 / 1.0289E-01   3.3257E-01 / 3.3257E-01   47.74% / 47.74%
480   5.000E-03   9.8930E-02   9.8930E-02   9.8930E-02 / 9.8930E-02   3.4216E-01 / 3.4216E-01   47.74% / 47.74%
490   5.000E-03   9.7752E-02   9.7752E-02   9.7752E-02 / 9.7752E-02   3.5074E-01 / 3.5074E-01   47.74% / 47.74%
500   5.000E-03   1.0159E-01   1.0159E-01   1.0159E-01 / 1.0159E-01   3.5093E-01 / 3.5093E-01   47.74% / 47.74%
510   5.000E-03   1.0851E-01   1.0851E-01   1.0851E-01 / 1.0851E-01   3.6006E-01 / 3.6006E-01   48.39% / 48.39%
520   5.000E-03   9.9444E-02   9.9444E-02   9.9444E-02 / 9.9444E-02   3.5128E-01 / 3.5128E-01   48.39% / 48.39%
530   5.000E-03   9.0147E-02   9.0147E-02   9.0147E-02 / 9.0147E-02   3.6059E-01 / 3.6059E-01   47.74% / 47.74%
540   5.000E-03   8.9154E-02   8.9154E-02   8.9154E-02 / 8.9154E-02   3.6540E-01 / 3.6540E-01   47.74% / 47.74%
550   5.000E-03   9.0560E-02   9.0560E-02   9.0560E-02 / 9.0560E-02   3.5572E-01 / 3.5572E-01   47.74% / 47.74%
