=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-02   9.7327E+01   9.7327E+01   9.7327E+01 / 9.7327E+01   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-02   5.2411E+01   5.2411E+01   5.2411E+01 / 5.2411E+01   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   5.000E-02   1.0019E+01   1.0019E+01   1.0019E+01 / 1.0019E+01   3.7453E-02 / 3.7453E-02   34.19% / 34.19%
 30   5.000E-02   3.5605E+00   3.5605E+00   3.5605E+00 / 3.5605E+00   2.6145E-02 / 2.6145E-02   35.48% / 35.48%
 40   5.000E-02   1.9988E+00   1.9988E+00   1.9988E+00 / 1.9988E+00   4.6002E-02 / 4.6002E-02   40.65% / 40.65%
 50   5.000E-02   1.1121E+00   1.1121E+00   1.1121E+00 / 1.1121E+00   9.3366E-02 / 9.3366E-02   44.52% / 44.52%
 60   5.000E-02   5.4260E-01   5.4260E-01   5.4260E-01 / 5.4260E-01   1.3072E-01 / 1.3072E-01   45.81% / 45.81%
 70   5.000E-02   3.4931E-01   3.4931E-01   3.4931E-01 / 3.4931E-01   1.7899E-01 / 1.7899E-01   45.16% / 45.16%
 80   5.000E-02   2.7885E-01   2.7885E-01   2.7885E-01 / 2.7885E-01   1.8706E-01 / 1.8706E-01   45.81% / 45.81%
 90   5.000E-02   2.4162E-01   2.4162E-01   2.4162E-01 / 2.4162E-01   2.0371E-01 / 2.0371E-01   45.81% / 45.81%
100   5.000E-02   2.1858E-01   2.1858E-01   2.1858E-01 / 2.1858E-01   2.2453E-01 / 2.2453E-01   47.10% / 47.10%
110   5.000E-02   2.3257E-01   2.3257E-01   2.3257E-01 / 2.3257E-01   2.2246E-01 / 2.2246E-01   47.74% / 47.74%
120   5.000E-02   2.0028E-01   2.0028E-01   2.0028E-01 / 2.0028E-01   2.3041E-01 / 2.3041E-01   47.10% / 47.10%
130   5.000E-02   1.7486E-01   1.7486E-01   1.7486E-01 / 1.7486E-01   2.4616E-01 / 2.4616E-01   47.10% / 47.10%
140   5.000E-02   1.5972E-01   1.5972E-01   1.5972E-01 / 1.5972E-01   2.5760E-01 / 2.5760E-01   46.45% / 46.45%
150   5.000E-02   1.4957E-01   1.4957E-01   1.4957E-01 / 1.4957E-01   2.6313E-01 / 2.6313E-01   47.10% / 47.10%
160   5.000E-02   1.3905E-01   1.3905E-01   1.3905E-01 / 1.3905E-01   2.7229E-01 / 2.7229E-01   47.10% / 47.10%
170   5.000E-02   1.3081E-01   1.3081E-01   1.3081E-01 / 1.3081E-01   2.8225E-01 / 2.8225E-01   47.10% / 47.10%
180   5.000E-02   1.2608E-01   1.2608E-01   1.2608E-01 / 1.2608E-01   2.9491E-01 / 2.9491E-01   47.10% / 47.10%
