=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   2.000E-04   3.5534E+00   3.5534E+00   3.5262E+00 / 3.5262E+00   1.1437E-06 / 1.1437E-06   0.18% / 0.18%
 10   2.000E-04   1.8934E+00   1.8934E+00   1.8669E+00 / 1.8669E+00   1.1080E-06 / 1.1080E-06   0.22% / 0.22%
 20   2.000E-04   1.5224E+00   1.5224E+00   1.4872E+00 / 1.4872E+00   1.7466E-06 / 1.7466E-06   0.25% / 0.25%
 30   2.000E-04   1.3236E+00   1.3236E+00   1.2836E+00 / 1.2836E+00   1.9115E-06 / 1.9115E-06   0.36% / 0.36%
 40   2.000E-04   1.0466E+00   1.0466E+00   1.0086E+00 / 1.0086E+00   1.4143E-06 / 1.4143E-06   0.21% / 0.21%
 50   2.000E-04   7.8295E-01   7.8295E-01   7.4520E-01 / 7.4520E-01   1.1986E-06 / 1.1986E-06   0.21% / 0.21%
 60   2.000E-04   6.6036E-01   6.6036E-01   6.1788E-01 / 6.1788E-01   1.2939E-06 / 1.2939E-06   0.24% / 0.24%
 70   2.000E-04   6.0975E-01   6.0975E-01   5.8271E-01 / 5.8271E-01   8.4160E-07 / 8.4160E-07   0.14% / 0.14%
 80   2.000E-04   5.4948E-01   5.4948E-01   5.2454E-01 / 5.2454E-01   7.7797E-07 / 7.7797E-07   0.20% / 0.20%
 90   2.000E-04   5.1698E-01   5.1698E-01   4.9593E-01 / 4.9593E-01   6.6634E-07 / 6.6634E-07   0.27% / 0.27%
100   2.000E-04   4.8539E-01   4.8539E-01   4.6602E-01 / 4.6602E-01   5.8879E-07 / 5.8879E-07   0.24% / 0.24%
110   2.000E-04   5.2549E-01   5.2549E-01   5.1437E-01 / 5.1437E-01   3.4423E-07 / 3.4423E-07   0.13% / 0.13%
120   2.000E-04   4.3942E-01   4.3942E-01   4.2941E-01 / 4.2941E-01   3.1498E-07 / 3.1498E-07   0.15% / 0.15%
130   2.000E-04   4.3526E-01   4.3526E-01   4.2610E-01 / 4.2610E-01   2.7908E-07 / 2.7908E-07   0.19% / 0.19%
140   2.000E-04   4.0281E-01   4.0281E-01   3.9605E-01 / 3.9605E-01   2.1301E-07 / 2.1301E-07   0.12% / 0.12%
150   2.000E-04   3.9092E-01   3.9092E-01   3.8359E-01 / 3.8359E-01   2.1484E-07 / 2.1484E-07   0.14% / 0.14%
160   2.000E-04   3.7938E-01   3.7938E-01   3.7112E-01 / 3.7112E-01   2.8351E-07 / 2.8351E-07   0.34% / 0.34%
170   2.000E-04   3.6276E-01   3.6276E-01   3.5782E-01 / 3.5782E-01   1.6747E-07 / 1.6747E-07   0.22% / 0.22%
180   2.000E-04   3.4825E-01   3.4825E-01   3.4278E-01 / 3.4278E-01   1.8221E-07 / 1.8221E-07   0.22% / 0.22%
